% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 18:13
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 65
4.1021100561012923E-4i                            -1.5280563404013523
583.8188741147544                                 3.665952567486494E-4
692.5170950391825                                 0.03480797974837501
1120.892204892143                                 3.0743181614125483E-4
1372.893204297148                                 -6.12847367169406E-4
1695.4292370263704                                0.12410085501488238
1864.9333374144767                                7.40180495048885E-4
2042.7483756478905                                0.754587723442971
2417.8597276748606                                0.0012797505661897898
2546.9167484527775                                0.5977603188634053
2565.734599469969                                 -0.008094550188986582
2793.7355407137316                                1.6676953743669407
2826.1211740505964                                0.031096405781216828
3680.470744040733                                 8.961720696707663E-5
4009.637113721698                                 0.24586454047581943
5013.542404037637                                 3.722565006165122
5373.947771320408                                 -1.0227983773735403
5455.8131854252715                                -0.0020001722434125203
5515.682716007626                                 -2.0307159193061762E-5
6331.631780622507                                 -2.163831185845942E-4
