% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 17:02
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency         Displacement field, X component (m), Point: 47
0.0077746372303428655    -2.067489593730853
606.0391053840656        3.548059150320317E-4
760.410167136473         0.1242092871140489
1158.853625336988        2.430176944635226E-4
1470.4176956604445       6.328959895076749E-4
1702.7183487742875       0.12269467620619338
1879.337909893502        -4.978001047868434E-4
2059.632322057325        0.6590689945244531
2485.9863620290953       0.003255426844971138
2608.253856844224        0.004625918952024568
2831.588367491538        2.13306415445977
3707.51140427251         -0.0025581077794084163
3855.2167883372813       0.4593723860748315
5016.018278527697        3.6127592588445263
5360.271740077861        -0.7890812120008395
5458.018560843354        -0.005266451332112897
5520.855548209966        0.001979044753852388
6943.2547810367405       2.89596566318912
7006.0450124346935       -0.015711293248444197
7387.398357813981        -0.23859199426092947
